dataset_id,role,local_label,raw_name,canonical_smiles,rdkit_parse_ok,mol_weight,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_ring_count,hetero_atom_count,descriptor_mw_bin,descriptor_logp_bin,descriptor_tpsa_bin,descriptor_rotatable_bin,descriptor_aromatic_ring_bin,has_phosphorus,has_phosphine,has_boron,has_aryl_halide,has_heteroaromatic,halide_type,boron_species,ligand_family,reagent_base_family,solvent_family,solvent_is_protic,functional_class,morgan_fp_128,maccs_fp
real_buchwald_hartwig,additive,A00,C1(C2=CC=CC=C2)=CC=NO1,c1ccc(-c2ccno2)cc1,yes,145.1610,2.3416,26.0300,0,2,1,2,2,mw_mid,logp_high,tpsa_mid,rot_low,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000100100000001001000000000000100100100000000100000000000000001000000000100000010000100000010011001000000000000000000011100000,00000000000000000000000000000000000000000000000000000000010000100100000100000000000100000000001011000010000000000000000011001100000000000100000000000000100000000111110
real_buchwald_hartwig,additive,A01,C1(C2=CC=CC=C2)=CON=C1,c1ccc(-c2cnoc2)cc1,yes,145.1610,2.3416,26.0300,0,2,1,2,2,mw_mid,logp_high,tpsa_mid,rot_low,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,10000100100000001001000000000000000000000000100100000000000000001000000000000000010000100000000010001000000000000100011010100101,00000000000000000000000000000000000000000000000000000000010000100100000100000000000100000000001011000010000000000000000011001100000000000100000000000000000000000111110
real_buchwald_hartwig,additive,A02,C1(C2=CC=CC=C2)=NOC=C1,c1ccc(-c2ccon2)cc1,yes,145.1610,2.3416,26.0300,0,2,1,2,2,mw_mid,logp_high,tpsa_mid,rot_low,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000110100000001001000000000000000000000000000100010000000000001000000000110100010010100000000010001000000000000010010000100000,00000000000000000000000000000000000000000000000000000000010000100100000100000000000100000000001011000010000000000000000011001100000000000100000000000000000010000111110
real_buchwald_hartwig,additive,A03,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=NO1,c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,yes,264.3280,3.8814,29.2700,0,3,5,3,3,mw_high,logp_high,tpsa_mid,rot_mid,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000100100000001001010111000000000100000010000100000000000000001000000000100000111000100010000000001000100000000100000010110000,00000000000000000000000000000000000000000000000000000000010000000100000100000001100101100000101011001010000000100000010011101100000001010110001001001000010110100111110
real_buchwald_hartwig,additive,A04,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1,c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,yes,264.3280,3.8814,29.2700,0,3,5,3,3,mw_high,logp_high,tpsa_mid,rot_mid,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000110000000001101000110001000000000000010000100000000000000001000000000100000110000100010000000101000000000000100010000110010,00000000000000000000000000000000000000100000000000000000010000000100000100000100000101100000001111001010000000000000000011101100000001010110001001001000010110100111110
real_buchwald_hartwig,additive,A05,C12=C(C=CC=C2)ON=C1,c1ccc2oncc2c1,yes,119.1230,1.8278,26.0300,0,2,0,2,2,mw_none_or_low,logp_mid,tpsa_mid,rot_none,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000000000001001001000000000000000000000000000100010000000010011000000000000000010000100000000000001010100000000000000010100001,00000000000000000000000000000000000000000000000000000000010000000100000100000000000100000000001011000110010000000000000011001100000000000100000000000000100000000111110
real_buchwald_hartwig,additive,A06,C12=CON=C1C=CC=C2,c1ccc2nocc2c1,yes,119.1230,1.8278,26.0300,0,2,0,2,2,mw_none_or_low,logp_mid,tpsa_mid,rot_none,aromatic_mid,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,10000010001000001000000000000000010100000000000100000001000000011000001001000000010000100000000000001100000000000000010000100000,00000000000000000000000000000000000000000000000000000000010000000100000100000000000100000000001011000110010000000000000011001100000000000100000000000000000010000111110
real_buchwald_hartwig,additive,A07,CC1=C(C(OCC)=O)C=NO1,CCOC(=O)c1cnoc1C,yes,155.1530,1.1597,52.3300,0,4,2,1,4,mw_mid,logp_mid,tpsa_mid,rot_low,aromatic_low,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000000011000001101000000000000010000110000000000001001001000001001000100000000110000100000000000001110000000000000000110100101,00000000000000000000000000000000000000000000000000000000010000000100000100000000000100000100001011000010000001000010000011011010000000000100000010100110111101011110110
real_buchwald_hartwig,additive,A08,CC1=CC(C(OCC)=O)=NO1,CCOC(=O)c1cc(C)on1,yes,155.1530,1.1597,52.3300,0,4,2,1,4,mw_mid,logp_mid,tpsa_mid,rot_low,aromatic_low,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000010001000001101000000000000110000110000010000000001001001000000000000000010110000110000000000001000000100000000001110100100,00000000000000000000000000000000000000000000000000000000010000000100000100000000000100000100001111000010000001000010000011011010000000000100000000100100111111011110110
real_buchwald_hartwig,additive,A09,CC1=CC(C)=NO1,Cc1cc(C)on1,yes,97.1170,1.2914,26.0300,0,2,0,1,2,mw_none_or_low,logp_mid,tpsa_mid,rot_none,aromatic_low,no,no,no,no,yes,none,none,not_ligand,not_reagent,not_solvent,not_solvent,heteroaromatic_additive,00000010100000001000000000000000110000000000000000000000011000000101000000000010010000000000000000001000000100000000001010100000,00000000000000000000000000000000000000000000000000000000010000000100000100000000000100000000001011000010000000000000000011001000000000000100000000000100100010001110110
